genome	region	locus_tag	pfam_domain	tigrfam_domain
HpGP-26695-ATCC	region001	HpGP-26695-ATCC_00936,HpGP-26695-ATCC_00937,HpGP-26695-ATCC_00938,HpGP-26695-ATCC_00939,HpGP-26695-ATCC_00940,HpGP-26695-ATCC_00941,HpGP-26695-ATCC_00942,HpGP-26695-ATCC_00943,HpGP-26695-ATCC_00944,HpGP-26695-ATCC_00945,HpGP-26695-ATCC_00946,HpGP-26695-ATCC_00947,HpGP-26695-ATCC_00948,HpGP-26695-ATCC_00949,HpGP-26695-ATCC_00950,HpGP-26695-ATCC_00951,HpGP-26695-ATCC_00952,HpGP-26695-ATCC_00953	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-001	region001	HpGP-ALG-001_00897,HpGP-ALG-001_00898,HpGP-ALG-001_00899,HpGP-ALG-001_00900,HpGP-ALG-001_00901,HpGP-ALG-001_00902,HpGP-ALG-001_00903,HpGP-ALG-001_00904,HpGP-ALG-001_00905,HpGP-ALG-001_00906,HpGP-ALG-001_00907,HpGP-ALG-001_00908,HpGP-ALG-001_00909,HpGP-ALG-001_00910,HpGP-ALG-001_00911,HpGP-ALG-001_00912,HpGP-ALG-001_00913,HpGP-ALG-001_00914,HpGP-ALG-001_00915	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-002	region001	HpGP-ALG-002_00896,HpGP-ALG-002_00897,HpGP-ALG-002_00898,HpGP-ALG-002_00899,HpGP-ALG-002_00900,HpGP-ALG-002_00901,HpGP-ALG-002_00902,HpGP-ALG-002_00903,HpGP-ALG-002_00904,HpGP-ALG-002_00905,HpGP-ALG-002_00906,HpGP-ALG-002_00907,HpGP-ALG-002_00908,HpGP-ALG-002_00909,HpGP-ALG-002_00910,HpGP-ALG-002_00911	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-ALG-003	region001	HpGP-ALG-003_00947,HpGP-ALG-003_00948,HpGP-ALG-003_00949,HpGP-ALG-003_00950,HpGP-ALG-003_00951,HpGP-ALG-003_00952,HpGP-ALG-003_00953,HpGP-ALG-003_00954,HpGP-ALG-003_00955,HpGP-ALG-003_00956,HpGP-ALG-003_00957,HpGP-ALG-003_00958,HpGP-ALG-003_00959,HpGP-ALG-003_00960,HpGP-ALG-003_00961,HpGP-ALG-003_00962,HpGP-ALG-003_00963	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-ALG-004	region001	HpGP-ALG-004_00853,HpGP-ALG-004_00854,HpGP-ALG-004_00855,HpGP-ALG-004_00856,HpGP-ALG-004_00857,HpGP-ALG-004_00858,HpGP-ALG-004_00859,HpGP-ALG-004_00860,HpGP-ALG-004_00861,HpGP-ALG-004_00862,HpGP-ALG-004_00863,HpGP-ALG-004_00864,HpGP-ALG-004_00865,HpGP-ALG-004_00866,HpGP-ALG-004_00867,HpGP-ALG-004_00868,HpGP-ALG-004_00869,HpGP-ALG-004_00870,HpGP-ALG-004_00871	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-005	region001	HpGP-ALG-005_00907,HpGP-ALG-005_00908,HpGP-ALG-005_00909,HpGP-ALG-005_00910,HpGP-ALG-005_00911,HpGP-ALG-005_00912,HpGP-ALG-005_00913,HpGP-ALG-005_00914,HpGP-ALG-005_00915,HpGP-ALG-005_00916,HpGP-ALG-005_00917,HpGP-ALG-005_00918,HpGP-ALG-005_00919,HpGP-ALG-005_00920,HpGP-ALG-005_00921,HpGP-ALG-005_00922,HpGP-ALG-005_00923,HpGP-ALG-005_00924,HpGP-ALG-005_00925	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-006	region001	HpGP-ALG-006_00937,HpGP-ALG-006_00938,HpGP-ALG-006_00939,HpGP-ALG-006_00940,HpGP-ALG-006_00941,HpGP-ALG-006_00942,HpGP-ALG-006_00943,HpGP-ALG-006_00944,HpGP-ALG-006_00945,HpGP-ALG-006_00946,HpGP-ALG-006_00947,HpGP-ALG-006_00948,HpGP-ALG-006_00949,HpGP-ALG-006_00950,HpGP-ALG-006_00951,HpGP-ALG-006_00952,HpGP-ALG-006_00953,HpGP-ALG-006_00954,HpGP-ALG-006_00955,HpGP-ALG-006_00956	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF00083.27,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-007	region001	HpGP-ALG-007_00907,HpGP-ALG-007_00908,HpGP-ALG-007_00909,HpGP-ALG-007_00910,HpGP-ALG-007_00911,HpGP-ALG-007_00912,HpGP-ALG-007_00913,HpGP-ALG-007_00914,HpGP-ALG-007_00915,HpGP-ALG-007_00916,HpGP-ALG-007_00917,HpGP-ALG-007_00918,HpGP-ALG-007_00919,HpGP-ALG-007_00920,HpGP-ALG-007_00921,HpGP-ALG-007_00922,HpGP-ALG-007_00923,HpGP-ALG-007_00924,HpGP-ALG-007_00925	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-008	region001	HpGP-ALG-008_00881,HpGP-ALG-008_00882,HpGP-ALG-008_00883,HpGP-ALG-008_00884,HpGP-ALG-008_00885,HpGP-ALG-008_00886,HpGP-ALG-008_00887,HpGP-ALG-008_00888,HpGP-ALG-008_00889,HpGP-ALG-008_00890,HpGP-ALG-008_00891,HpGP-ALG-008_00892,HpGP-ALG-008_00893,HpGP-ALG-008_00894,HpGP-ALG-008_00895,HpGP-ALG-008_00896,HpGP-ALG-008_00897,HpGP-ALG-008_00898,HpGP-ALG-008_00899	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ALG-009	region001	HpGP-ALG-009_00906,HpGP-ALG-009_00907,HpGP-ALG-009_00908,HpGP-ALG-009_00909,HpGP-ALG-009_00910,HpGP-ALG-009_00911,HpGP-ALG-009_00912,HpGP-ALG-009_00913,HpGP-ALG-009_00914,HpGP-ALG-009_00915,HpGP-ALG-009_00916,HpGP-ALG-009_00917,HpGP-ALG-009_00918,HpGP-ALG-009_00919,HpGP-ALG-009_00920,HpGP-ALG-009_00921,HpGP-ALG-009_00922,HpGP-ALG-009_00923,HpGP-ALG-009_00924	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
