genome	region	orig_start	orig_end	region_length_bp	contig_edge	product	rules	category
HpGP-26695-ATCC	region001	981602	1002514	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-001	region001	942365	963277	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-002	region001	944330	965242	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-003	region001	1004269	1025181	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-004	region001	904495	925407	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-005	region001	953491	974403	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-006	region001	977036	997948	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-007	region001	952578	973490	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-008	region001	933536	954448	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-009	region001	949848	970760	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ALG-010	region001	208539	229451	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-001	region001	963765	984677	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-002	region001	974399	995311	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-003	region001	907068	927980	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-004	region001	401700	422612	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-005	region001	947127	968039	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-006	region001	948883	969795	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-007	region001	890295	911207	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-008	region001	958275	979187	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-009	region001	982815	1003727	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-ARG-010	region001	943955	964867	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-001	region001	645313	666225	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-002	region001	909288	930200	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-003	region001	960034	980946	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-004	region001	1018627	1039539	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-005	region001	694656	715568	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-006	region001	908032	928944	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-007	region001	952432	973344	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-008	region001	929533	950445	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-009	region001	818953	839865	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGD-010	region001	912192	933104	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-001	region001	994092	1015004	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-003	region001	733833	754745	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-004	region001	947187	968099	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-005	region001	1003611	1024523	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-006	region001	942291	963203	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-007	region001	1011121	1032033	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-008	region001	619781	640693	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BGR-010	region001	916662	937574	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-001	region001	954333	975245	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-002	region001	954027	974939	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-003	region001	905924	926836	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-004	region001	953618	974530	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-005	region001	938872	959784	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-006	region001	640072	660984	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-007	region001	946324	967236	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-008	region001	662181	683093	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-009	region001	898022	918934	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-010	region001	968895	989807	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-012	region001	339974	360886	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-013	region001	981887	1002799	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-014	region001	994349	1015261	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-015	region001	947882	968794	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-017	region001	922620	943532	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-018	region001	960010	980922	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-019	region001	970770	991682	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-020	region001	948220	969132	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-022	region001	945063	965975	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-023	region001	941105	962017	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-BRA-025	region001	484371	505283	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-001	region001	540952	561864	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-002	region001	994194	1015106	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-004	region001	955223	976135	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-006	region001	686962	707874	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-007	region001	1013790	1034702	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-008	region001	986828	1007740	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-010	region001	696392	717304	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-011	region001	686945	707857	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-012	region001	518531	539443	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-014	region001	988647	1009559	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-015	region001	696302	717214	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-016	region001	1008811	1029723	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-017	region001	991228	1012140	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-018	region001	960753	981665	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-019	region001	966271	987183	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
HpGP-CAN-020	region001	908374	929286	20912	False	terpene-precursor	(PT_FPPS_like and not PT_HPP)	terpene
