genome	region	start	end	region_length_bp	avg_p	max_p	type
HpGP-USA-304	HpGP-USA-304_cluster_1	222040	226270	4231	0.79586651136739	0.936316115196682	Unknown
HpGP-GTM-004	HpGP-GTM-004_cluster_1	228627	232853	4227	0.796005729126819	0.937012173047665	Unknown
HpGP-CHN-007	HpGP-CHN-007_cluster_1	236269	240459	4191	0.796005723580781	0.937012174970241	Unknown
HpGP-ZAF-002	HpGP-ZAF-002_cluster_1	948272	952511	4240	0.795823121244895	0.937150648691185	Unknown
HpGP-JOR-005	HpGP-JOR-005_cluster_1	220422	225157	4736	0.948694135524563	0.999891257012298	Unknown
HpGP-ITA-009	HpGP-ITA-009_cluster_1	219216	224591	5376	0.711754435128876	0.912191011770457	Unknown
HpGP-CHI-027	HpGP-CHI-027_cluster_1	216536	221212	4677	0.948694135471126	0.999891257012298	Unknown
HpGP-POL-001	HpGP-POL-001_cluster_1	244849	249263	4415	0.79600573027087	0.937012172685252	Unknown
HpGP-MAL-006	HpGP-MAL-006_cluster_1	1150333	1154523	4191	0.795823122442714	0.937150648174833	Unknown
HpGP-GER-021	HpGP-GER-021_cluster_1	225055	229384	4330	0.796005730888589	0.937012172685252	Unknown
HpGP-SPA-107	HpGP-SPA-107_cluster_1	216329	220561	4233	0.796005723124871	0.937012172685252	Unknown
HpGP-COL-006	HpGP-COL-006_cluster_1	225514	229883	4370	0.796005723045234	0.937012172685252	Unknown
HpGP-ALG-003	HpGP-ALG-003_cluster_1	219144	223561	4418	0.796005723256225	0.937012173149291	Unknown
HpGP-KOR-047	HpGP-KOR-047_cluster_1	235344	239534	4191	0.796005729054337	0.937012172685252	Unknown
HpGP-MMR-012	HpGP-MMR-012_cluster_1	191043	195442	4400	0.796044300343313	0.937012172685252	Unknown
HpGP-MAL-021	HpGP-MAL-021_cluster_1	276762	280951	4190	0.796005723577936	0.937012174970241	Unknown
HpGP-SPA-020	HpGP-SPA-020_cluster_1	1038662	1042896	4235	0.795823121368644	0.937150648174833	Unknown
HpGP-ARG-003	HpGP-ARG-003_cluster_1	216875	221301	4427	0.796005134491412	0.937009201730567	Unknown
HpGP-KOR-006	HpGP-KOR-006_cluster_1	228513	232897	4385	0.795962714788526	0.937012174970241	Unknown
HpGP-SPA-323	HpGP-SPA-323_cluster_1	225462	229881	4420	0.796005729147145	0.937012173149291	Unknown
HpGP-SWE-022	HpGP-SWE-022_cluster_1	235777	240144	4368	0.796005723123783	0.937012172685252	Unknown
HpGP-ITA-022	HpGP-ITA-022_cluster_1	220547	224968	4422	0.796005884820492	0.937012172685252	Unknown
HpGP-RUS-003	HpGP-RUS-003_cluster_1	221354	225728	4375	0.796005723124871	0.937012172685252	Unknown
HpGP-FRA-015	HpGP-FRA-015_cluster_1	218702	223117	4416	0.948836087890002	0.999891257012298	Unknown
HpGP-RUS-001	HpGP-RUS-001_cluster_1	265148	269340	4193	0.796005729054337	0.937012172685252	Unknown
HpGP-CHI-116	HpGP-CHI-116_cluster_1	1110114	1117377	7264	0.59545162573777	0.767854094264873	Unknown
HpGP-TWN-004	HpGP-TWN-004_cluster_1	241661	246048	4388	0.79600588483166	0.937012172741089	Unknown
HpGP-PER-112	HpGP-PER-112_cluster_1	227184	231901	4718	0.948694135505474	0.999891257012298	Unknown
HpGP-KOR-022	HpGP-KOR-022_cluster_1	1153556	1157745	4190	0.795823122850908	0.937150648174833	Unknown
HpGP-KOR-044	HpGP-KOR-044_cluster_1	1406862	1411233	4372	0.795822523749737	0.937147684447327	Unknown
HpGP-FRA-018	HpGP-FRA-018_cluster_1	213432	217625	4194	0.79600513379382	0.937009201730567	Unknown
HpGP-CHN-001	HpGP-CHN-001_cluster_1	1170874	1175065	4192	0.795823121142198	0.937150648177701	Unknown
HpGP-ITA-008	HpGP-ITA-008_cluster_1	223513	227928	4416	0.796005723034386	0.937012172232824	Unknown
HpGP-KOR-101	HpGP-KOR-101_cluster_1	231275	235646	4372	0.796005746273304	0.937012172685252	Unknown
HpGP-KOR-101	HpGP-KOR-101_cluster_2	1403790	1407099	3310	0.461908622836283	0.46932237839079	RiPP
HpGP-GRE-019	HpGP-GRE-019_cluster_1	217135	221507	4373	0.796005723368687	0.937012172741089	Unknown
HpGP-TWN-010	HpGP-TWN-010_cluster_1	237254	241621	4368	0.796005729065504	0.937012172741089	Unknown
HpGP-BGD-008	HpGP-BGD-008_cluster_1	219331	223558	4228	0.796005730476766	0.937012172685252	Unknown
HpGP-TUR-009	HpGP-TUR-009_cluster_1	235373	239745	4373	0.796005723358618	0.937012172685252	Unknown
HpGP-USA-406	HpGP-USA-406_cluster_1	222975	227061	4087	0.79600513379382	0.937009201730567	Unknown
HpGP-TWN-022	HpGP-TWN-022_cluster_1	225740	230112	4373	0.796005723580781	0.937012174970241	Unknown
HpGP-USA-421	HpGP-USA-421_cluster_1	220604	225014	4411	0.79600513379382	0.937009201730567	Unknown
HpGP-BGR-006	HpGP-BGR-006_cluster_1	217824	222295	4472	0.948835888343336	0.999890059732301	Unknown
HpGP-SWE-010	HpGP-SWE-010_cluster_1	236226	240596	4371	0.796005725980834	0.937012172685252	Unknown
HpGP-USA-412	HpGP-USA-412_cluster_1	218576	222988	4413	0.796005729166276	0.937012172685252	Unknown
HpGP-GER-012	HpGP-GER-012_cluster_1	1252732	1256922	4191	0.795823123852104	0.937150648174833	Unknown
HpGP-SGP-018	HpGP-SGP-018_cluster_1	232225	236597	4373	0.796005729511335	0.937012174970241	Unknown
HpGP-POL-007	HpGP-POL-007_cluster_1	224239	228608	4370	0.79600572894853	0.937012172685252	Unknown
HpGP-CHI-021	HpGP-CHI-021_cluster_1	227185	231550	4366	0.796005729054337	0.937012172685252	Unknown
HpGP-SGP-015	HpGP-SGP-015_cluster_1	285963	290153	4191	0.796005729511335	0.937012174970241	Unknown
HpGP-HON-011	HpGP-HON-011_cluster_1	227484	231721	4238	0.796005727984757	0.937012172685252	Unknown
HpGP-GER-007	HpGP-GER-007_cluster_1	229663	234083	4421	0.796005723119893	0.937012172685252	Unknown
HpGP-GHA-009	HpGP-GHA-009_cluster_1	220984	225395	4412	0.7960051348634	0.937009201730567	Unknown
HpGP-ISL-010	HpGP-ISL-010_cluster_1	220884	225102	4219	0.796005727984757	0.937012172685252	Unknown
HpGP-USA-429	HpGP-USA-429_cluster_1	221724	226138	4415	0.796005723123783	0.937012172685252	Unknown
HpGP-POR-010	HpGP-POR-010_cluster_1	272017	276249	4233	0.796005723124871	0.937012172685252	Unknown
HpGP-USA-411	HpGP-USA-411_cluster_1	226832	231246	4415	0.796005725269073	0.937012172685252	Unknown
HpGP-PER-111	HpGP-PER-111_cluster_1	215284	219688	4405	0.79600733690614	0.937012174970241	Unknown
HpGP-PER-111	HpGP-PER-111_cluster_2	498436	506401	7966	0.622167392227392	0.813201444012982	Saccharide
HpGP-DOM-007	HpGP-DOM-007_cluster_1	225328	229558	4231	0.796005723124885	0.937012172685252	Unknown
HpGP-DOM-005	HpGP-DOM-005_cluster_1	223760	227991	4232	0.796005133799373	0.937009201758331	Unknown
HpGP-SGP-036	HpGP-SGP-036_cluster_1	1146352	1151005	4654	0.948604839273135	0.999891512090244	Unknown
HpGP-ITA-029	HpGP-ITA-029_cluster_1	221660	226029	4370	0.796005727757931	0.937012172685252	Unknown
HpGP-CHN-005	HpGP-CHN-005_cluster_1	245821	250195	4375	0.796005727984757	0.937012172685252	Unknown
HpGP-BGR-003	HpGP-BGR-003_cluster_1	215331	219751	4421	0.796006085232837	0.937012174970241	Unknown
HpGP-SPA-402	HpGP-SPA-402_cluster_1	226331	230565	4235	0.796005729614818	0.937012174927962	Unknown
HpGP-SPA-017	HpGP-SPA-017_cluster_1	1294439	1298856	4418	0.795823118128425	0.937150647959834	Unknown
HpGP-SGP-002	HpGP-SGP-002_cluster_1	673655	681473	7819	0.801046164876457	0.806334621729619	Unknown
HpGP-SGP-002	HpGP-SGP-002_cluster_2	1058770	1063142	4373	0.795823118171425	0.937150648174833	Unknown
HpGP-KGZ-010	HpGP-KGZ-010_cluster_1	226585	230960	4376	0.796005729054337	0.937012172685252	Unknown
HpGP-SWE-019	HpGP-SWE-019_cluster_1	222631	226857	4227	0.796005729054337	0.937012172685252	Unknown
HpGP-MMR-002	HpGP-MMR-002_cluster_1	190788	194978	4191	0.796005723123015	0.937012172685252	Unknown
HpGP-GER-010	HpGP-GER-010_cluster_1	219232	223390	4159	0.796005722863088	0.937012172697929	Unknown
HpGP-PER-130	HpGP-PER-130_cluster_1	219472	223885	4414	0.796005724797899	0.937012172687242	Unknown
HpGP-PER-121	HpGP-PER-121_cluster_1	218545	222914	4370	0.796007357012348	0.937012175392371	Unknown
HpGP-ISR-006	HpGP-ISR-006_cluster_1	220457	224833	4377	0.796005730476766	0.937012172685252	Unknown
HpGP-GTM-007	HpGP-GTM-007_cluster_1	227545	231963	4419	0.796005723183228	0.937012172982478	Unknown
HpGP-USA-419	HpGP-USA-419_cluster_1	224846	229080	4235	0.796005729166276	0.937012172685252	Unknown
HpGP-KOR-013	HpGP-KOR-013_cluster_1	254979	259347	4369	0.796005729266729	0.937012172685252	Unknown
HpGP-SWT-005	HpGP-SWT-005_cluster_1	220302	224490	4189	0.796005729054337	0.937012172685252	Unknown
HpGP-IDN-002	HpGP-IDN-002_cluster_1	231786	236186	4401	0.796005727984757	0.937012172685252	Unknown
HpGP-MEX-041	HpGP-MEX-041_cluster_1	230214	234635	4422	0.796005730490238	0.937012172665954	Unknown
HpGP-LAT-026	HpGP-LAT-026_cluster_1	228094	232285	4192	0.796005725314522	0.937012172685252	Unknown
HpGP-FRA-012	HpGP-FRA-012_cluster_1	223405	227777	4373	0.796005729166276	0.937012172685252	Unknown
HpGP-VNM-002	HpGP-VNM-002_cluster_1	236555	240825	4271	0.796005729054337	0.937012172685252	Unknown
HpGP-SWT-004	HpGP-SWT-004_cluster_1	218448	222820	4373	0.796005729054735	0.937012172687242	Unknown
HpGP-JAP-022	HpGP-JAP-022_cluster_1	237292	241662	4371	0.796005128932846	0.937009201730567	Unknown
HpGP-IND-005	HpGP-IND-005_cluster_1	215985	220397	4413	0.796006093465161	0.937012172685252	Unknown
HpGP-FRA-008	HpGP-FRA-008_cluster_1	268326	272693	4368	0.796005723217561	0.937012173154141	Unknown
HpGP-KOR-035	HpGP-KOR-035_cluster_2	242604	246796	4193	0.796005730927415	0.937012175023635	Unknown
HpGP-KOR-111	HpGP-KOR-111_cluster_1	220895	225256	4362	0.796005729511335	0.937012174970241	Unknown
HpGP-ISR-005	HpGP-ISR-005_cluster_1	255864	260233	4370	0.79600608439793	0.937012172685252	Unknown
HpGP-SPA-609	HpGP-SPA-609_cluster_1	257541	261954	4414	0.796005499438216	0.937009201730567	Unknown
HpGP-PER-138	HpGP-PER-138_cluster_1	217505	221874	4370	0.79600613355783	0.937012174970241	Unknown
HpGP-JOR-001	HpGP-JOR-001_cluster_1	261647	266015	4369	0.796005729054337	0.937012172685252	Unknown
HpGP-SPA-206	HpGP-SPA-206_cluster_1	250385	254800	4416	0.796005723631429	0.937012172685252	Unknown
HpGP-MEX-032	HpGP-MEX-032_cluster_1	237620	242032	4413	0.796005728083018	0.937012173176553	Unknown
HpGP-NPL-003	HpGP-NPL-003_cluster_1	191198	195421	4224	0.796005723437065	0.937012173149291	Unknown
HpGP-MEX-027	HpGP-MEX-027_cluster_1	224480	228896	4417	0.796005723123783	0.937012172685252	Unknown
HpGP-KOR-112	HpGP-KOR-112_cluster_1	274588	278781	4194	0.796005729054337	0.937012172685252	Unknown
HpGP-ITA-006	HpGP-ITA-006_cluster_1	1075956	1080164	4209	0.795823116495238	0.937150648174833	Unknown
HpGP-JAP-016	HpGP-JAP-016_cluster_1	1140673	1145076	4404	0.79582312311426	0.937150650469495	Unknown
