genome	antismash_region	antismash_start	antismash_end	gecco_region	gecco_start	gecco_end	overlapping
HpGP-BGD-003	region001	960034	980946	HpGP-BGD-003_cluster_1	243318	246691	no
HpGP-BGR-006	region001	942291	963203	HpGP-BGR-006_cluster_1	217824	221293	no
HpGP-CAN-022	region001	411762	432674	HpGP-CAN-022_cluster_1	239612	243293	no
HpGP-CHI-004	region001	972095	993007	HpGP-CHI-004_cluster_1	219859	223192	no
HpGP-CHI-026	region001	933080	953992	HpGP-CHI-026_cluster_1	222124	225313	no
HpGP-CHI-027	region001	948026	968938	HpGP-CHI-027_cluster_1	216536	220210	no
HpGP-CHI-124	region001	957820	978732	HpGP-CHI-124_cluster_1	229755	232994	no
HpGP-COG-005	region001	941590	962502	HpGP-COG-005_cluster_1	220593	226047	no
HpGP-COL-102	region001	952444	973356	HpGP-COL-102_cluster_1	222344	225805	no
HpGP-COL-112	region001	1013534	1034446	HpGP-COL-112_cluster_1	221032	224737	no
HpGP-COL-306	region001	954931	975843	HpGP-COL-306_cluster_1	220703	224380	no
HpGP-CRI-001	region001	399065	419977	HpGP-CRI-001_cluster_1	1183178	1186857	no
HpGP-FRA-001	region001	1014331	1035243	HpGP-FRA-001_cluster_1	1426428	1429742	no
HpGP-FRA-004	region001	948920	969832	HpGP-FRA-004_cluster_1	220399	224124	no
HpGP-FRA-015	region001	982081	1002993	HpGP-FRA-015_cluster_1	218702	222115	no
HpGP-GER-001	region001	979815	1000727	HpGP-GER-001_cluster_2	1433592	1439290	no
HpGP-GMB-009	region001	946039	966951	HpGP-GMB-009_cluster_1	220138	223854	no
HpGP-GRE-011	region001	989386	1010298	HpGP-GRE-011_cluster_1	260800	264170	no
HpGP-IDN-005	region001	988756	1009668	HpGP-IDN-005_cluster_1	233895	237264	no
HpGP-IND-007	region001	979375	1000287	HpGP-IND-007_cluster_1	261422	265107	no
HpGP-IND-009	region001	602661	623573	HpGP-IND-009_cluster_1	193267	196947	no
HpGP-ISL-007	region001	341002	361914	HpGP-ISL-007_cluster_1	1038681	1042074	no
HpGP-ITA-007	region001	950975	971887	HpGP-ITA-007_cluster_1	215860	219229	no
HpGP-JAP-009	region001	998529	1019441	HpGP-JAP-009_cluster_1	283757	286943	no
HpGP-JOR-005	region001	662485	683397	HpGP-JOR-005_cluster_1	220422	224155	no
HpGP-KOR-034	region001	935939	956851	HpGP-KOR-034_cluster_1	228673	232037	no
HpGP-KOR-048	region001	948804	969716	HpGP-KOR-048_cluster_1	240754	243942	no
HpGP-LAT-023	region001	976804	997716	HpGP-LAT-023_cluster_1	256561	259928	no
HpGP-LAT-027	region001	910387	931299	HpGP-LAT-027_cluster_1	189806	193453	no
HpGP-MAL-002	region001	908443	929355	HpGP-MAL-002_cluster_1	187918	193360	no
HpGP-MAL-008	region001	932591	953503	HpGP-MAL-008_cluster_1	222691	226346	no
HpGP-MAL-025	region001	969164	990076	HpGP-MAL-025_cluster_1	254669	258347	no
HpGP-MMR-006	region001	933122	954034	HpGP-MMR-006_cluster_1	219037	222684	no
HpGP-PER-110	region001	976106	997018	HpGP-PER-110_cluster_1	218851	222214	no
HpGP-PER-112	region001	944861	965773	HpGP-PER-112_cluster_1	227184	230899	no
HpGP-PER-124	region001	944450	965362	HpGP-PER-124_cluster_1	221430	224849	no
HpGP-PRI-002	region001	948739	969651	HpGP-PRI-002_cluster_1	133219	140560	no
HpGP-PRI-002	region001	948739	969651	HpGP-PRI-002_cluster_2	155603	156446	no
HpGP-PRI-005	region001	931862	952774	HpGP-PRI-005_cluster_1	229325	233043	no
HpGP-SGP-002	region001	342728	363640	HpGP-SGP-002_cluster_2	679110	681473	no
HpGP-SGP-004	region001	940738	961650	HpGP-SGP-004_cluster_1	242819	248048	no
HpGP-SGP-024	region001	951724	972645	HpGP-SGP-024_cluster_1	242962	246363	no
HpGP-SGP-036	region001	421134	442046	HpGP-SGP-036_cluster_1	1147354	1151005	no
HpGP-SPA-016	region001	420819	441731	HpGP-SPA-016_cluster_1	221679	225093	no
HpGP-SPA-019	region001	1002669	1023581	HpGP-SPA-019_cluster_1	239942	243351	no
HpGP-SPA-313	region001	960622	981534	HpGP-SPA-313_cluster_1	213304	219393	no
HpGP-SPA-315	region001	945071	965983	HpGP-SPA-315_cluster_1	221707	225399	no
HpGP-SPA-807	region001	1014653	1035565	HpGP-SPA-807_cluster_1	258956	262611	no
HpGP-SWE-001	region001	912659	933571	HpGP-SWE-001_cluster_1	221423	224742	no
HpGP-SWE-034	region001	1071364	1092276	HpGP-SWE-034_cluster_1	223823	227013	no
HpGP-SWT-006	region001	960275	981187	HpGP-SWT-006_cluster_1	270814	274231	no
HpGP-TWN-026	region001	953401	974313	HpGP-TWN-026_cluster_1	243366	246741	no
HpGP-USA-424	region001	950716	971628	HpGP-USA-424_cluster_1	220445	223685	no
