cluster_id	cluster_length	gcf_id	gcf_representative	nucleotide_representative	fragment_representative	filename
BGC0001324	107124	GCF0000001	BGC0001321	BGC0001324	BGC0001324	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001322	127509	GCF0000001	BGC0001321	BGC0001322	BGC0001322	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001321	149366	GCF0000001	BGC0001321	BGC0001321	BGC0001321	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001291	9016	GCF0000002	BGC0001291	BGC0001291	BGC0001291	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001796	40582	GCF0000003	BGC0001796	BGC0001796	BGC0001796	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
HpGP-KOR-119_cluster_2	2555	GCF0000004	HpGP-ZAF-010_cluster_2	HpGP-KOR-119_cluster_2	HpGP-KOR-119_cluster_2	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
HpGP-KOR-118_cluster_2	3908	GCF0000004	HpGP-ZAF-010_cluster_2	HpGP-KOR-118_cluster_2	HpGP-KOR-118_cluster_2	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
HpGP-ZAF-010_cluster_2	9159	GCF0000004	HpGP-ZAF-010_cluster_2	HpGP-ZAF-010_cluster_2	HpGP-ZAF-010_cluster_2	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001861	9286	GCF0000005	BGC0001863	BGC0001861	BGC0001861	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001863	11914	GCF0000005	BGC0001863	BGC0001863	BGC0001863	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002447	8196	GCF0000006	BGC0002442	BGC0002447	BGC0002447	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002442	8391	GCF0000006	BGC0002442	BGC0002442	BGC0002442	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002524	5092	GCF0000007	BGC0002524	BGC0002524	BGC0002524	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002719	33311	GCF0000008	BGC0002351	BGC0002719	BGC0002719	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002351	37128	GCF0000008	BGC0002351	BGC0002351	BGC0002351	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001304	15094	GCF0000009	BGC0003126	BGC0001304	BGC0001304	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0003126	17000	GCF0000009	BGC0003126	BGC0003126	BGC0003126	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002290	37984	GCF0000010	BGC0001624	BGC0002290	BGC0002290	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001624	43773	GCF0000010	BGC0001624	BGC0001624	BGC0001624	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001571	66332	GCF0000011	BGC0001571	BGC0001571	BGC0001571	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002729	27499	GCF0000012	BGC0001749	BGC0002729	BGC0002729	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001749	54985	GCF0000012	BGC0001749	BGC0001749	BGC0001749	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002233	31758	GCF0000013	BGC0002233	BGC0002233	BGC0002233	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0003109	48559	GCF0000014	BGC0003109	BGC0003109	BGC0003109	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0002234	20938	GCF0000015	BGC0002234	BGC0002234	BGC0002234	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
BGC0001398	65569	GCF0000016	BGC0001398	BGC0001398	BGC0001398	/home/yanyun/Documents/project/igua/igua_input/gecco_0.3_and_mibig/all_gecco_0.3_clusters_and_mibig_clusters.gbk
